date,open,high,low,adjusted_close,volume,SMA_20,EMA_21,SMA_20_gt_EMA21,RSI_14,OBV,ROC_1
2021-04-26,83.35,85.9,82.7,85.41,57594535.0,80.7805,81.1839,0.0,58.0811,4968002752.0,3.202
2021-04-23,80.21,83.3,79.96,82.76,49267281.0,80.3805,80.7613,0.0,53.6586,4910408217.0,4.68
2021-04-22,81.61,81.79,78.59,79.06,38846050.0,80.0535,80.5614,0.0,46.3155,4861140936.0,-3.1246
2021-04-21,78.99,81.66,78.86,81.61,35068955.0,79.9245,80.7115,0.0,51.5422,4899986986.0,2.9519
2021-04-20,80.82,81.11,78.51,79.27,34977750.0,79.763,80.6217,0.0,46.3867,4864918031.0,-2.2685
2021-04-19,82.13,83.18,80.39,81.11,39115461.0,79.8145,80.7568,0.0,50.2936,4899895781.0,-1.266
2021-04-16,83.3,83.59,81.53,82.15,47280570.0,79.712,80.7215,0.0,52.6197,4939011242.0,-1.036
2021-04-15,80.32,83.95,79.97,83.01,68942819.0,79.5105,80.5787,0.0,54.5572,4986291812.0,5.6779
2021-04-14,79.88,80.13,77.935,78.55,34263832.0,79.4915,80.3355,0.0,44.7629,4917348993.0,-2.0451
2021-04-13,79.67,80.72,78.98,80.19,37767257.0,79.7015,80.5141,0.0,48.3188,4951612825.0,2.0489
2021-04-12,82.055,82.18,78.03,78.58,62098804.0,79.817,80.5465,0.0,44.2841,4913845568.0,-5.0507
2021-04-09,82.8,83.59,82.16,82.76,32759867.0,79.9405,80.7432,0.0,54.5511,4975944372.0,-0.7079
2021-04-08,83.32,83.79,82.435,83.35,41925284.0,79.864,80.5415,0.0,56.2607,5008704239.0,1.399
2021-04-07,81.32,83.1,80.35,82.2,35590925.0,79.5725,80.2606,0.0,53.6305,4966778955.0,0.9332
2021-04-06,81.21,82.455,80.88,81.44,29327948.0,79.389,80.0667,0.0,51.8539,4931188030.0,0.0123
2021-04-05,81.74,81.9,80.39,81.43,32610554.0,79.015,79.9293,0.0,51.8314,4901860082.0,0.4193
2021-04-01,80.155,81.31,79.48,81.09,40182380.0,78.8695,79.7793,0.0,51.1084,4869249528.0,3.2994
2021-03-31,76.57,79.13,76.52,78.5,43659455.0,78.7025,79.6482,0.0,45.3014,4829067148.0,3.2895
2021-03-30,76.47,76.56,74.85,76.0,39169250.0,78.8205,79.763,0.0,38.7847,4785407693.0,-1.4778
2021-03-29,77.03,78.02,76.26,77.14,37144298.0,79.227,80.1393,0.0,40.8452,4824576943.0,-0.3488
2021-03-26,76.62,77.4995,75.03,77.41,49148659.0,79.6895,80.4393,0.0,41.3281,4861721241.0,1.5613
2021-03-25,75.85,76.95,74.96,76.22,44735103.0,80.0445,80.7422,0.0,38.345,4812572582.0,-0.34
2021-03-24,77.55,78.8,76.4,76.48,43753642.0,80.3545,81.1944,0.0,38.7447,4857307685.0,-2.4241
2021-03-23,80.13,80.34,77.95,78.38,40466635.0,80.8775,81.6658,0.0,41.6934,4901061327.0,-2.391
2021-03-22,79.99,81.265,79.22,80.3,39648614.0,81.1955,81.9944,0.0,44.9,4941527962.0,1.5684
2021-03-19,78.49,79.34,77.59,79.06,42283391.0,81.449,82.1639,0.0,42.2358,4901879348.0,1.2033
2021-03-18,81.055,81.62,78.01,78.12,51036502.0,81.975,82.4743,0.0,40.2005,4859595957.0,-5.4581
2021-03-17,81.75,83.25,80.411,82.63,43320573.0,82.501,82.9097,0.0,47.6861,4910632459.0,-0.145
2021-03-16,83.66,84.75,82.255,82.75,42971552.0,82.8665,82.9377,0.0,47.9065,4953953032.0,0.303
2021-03-15,81.91,83.39,81.2,82.5,39365424.0,83.302,82.9564,1.0,47.4365,4910981480.0,1.789
2021-03-12,79.73,81.19,79.23,81.05,32937950.0,83.8655,83.0021,1.0,44.7521,4871616056.0,-0.2216
2021-03-11,79.4,81.89,79.37,81.23,43583719.0,84.446,83.1973,1.0,45.0171,4904554006.0,4.7859
2021-03-10,79.75,80.04,77.41,77.52,45416616.0,85.002,83.394,1.0,37.989,4860970287.0,-1.2861
2021-03-09,76.73,79.215,75.77,78.53,45088336.0,85.6715,83.9814,1.0,39.2575,4906386903.0,6.179
2021-03-08,78.03,79.0,73.86,73.96,54563874.0,86.3185,84.5265,1.0,29.3448,4861298567.0,-5.8074
2021-03-05,79.0,79.48,74.2,78.52,58548912.0,87.0155,85.5832,1.0,34.5723,4915862441.0,0.9904
2021-03-04,80.23,81.8067,76.78,77.75,60549371.0,87.4815,86.2895,1.0,32.6923,4857313529.0,-3.8462
2021-03-03,84.28,84.38,80.85,80.86,43541041.0,87.9885,87.1435,1.0,36.641,4917862900.0,-3.8868
2021-03-02,86.92,86.95,84.04,84.13,34828157.0,88.3885,87.7718,1.0,41.5396,4961403941.0,-2.616
2021-03-01,85.365,86.5,83.97,86.39,32746181.0,88.565,88.136,1.0,45.4382,4996232098.0,2.2246
2021-02-26,83.565,85.59,82.91,84.51,48815557.0,88.5275,88.3106,1.0,41.1736,4963485917.0,2.5358
2021-02-25,86.17,87.09,81.92,82.42,54275246.0,88.678,88.6906,0.0,36.0106,4914670360.0,-5.199
2021-02-24,84.33,87.09,82.81,86.94,40821150.0,88.999,89.3177,0.0,43.7156,4968945606.0,2.5962
2021-02-23,83.4,85.11,79.36,84.74,49720914.0,89.3875,89.5555,0.0,37.69,4928124456.0,-0.738
2021-02-22,88.15,88.3,85.21,85.37,36686163.0,89.857,90.037,0.0,38.7944,4977845370.0,-4.6997
2021-02-19,89.75,90.4163,88.69,89.58,29548273.0,90.228,90.5037,0.0,47.4156,5014531533.0,1.0605
2021-02-18,89.09,89.6,87.31,88.64,35624948.0,90.3255,90.5961,0.0,44.8758,4984983260.0,-1.4454
2021-02-17,90.56,90.96,88.5701,89.94,32154497.0,90.331,90.7917,0.0,47.8434,5020608208.0,-1.6619
2021-02-16,93.9,94.0,90.7499,91.46,35105917.0,90.3065,90.8769,0.0,51.5441,5052762705.0,-2.4635
2021-02-12,92.75,94.22,91.9,93.77,38538353.0,90.144,90.8186,0.0,57.8598,5087868622.0,1.1979
2021-02-11,92.9,93.65,91.33,92.66,35571025.0,89.995,90.5234,0.0,55.4226,5049330269.0,0.3357
2021-02-10,91.5,93.27,90.46,92.35,42232296.0,89.951,90.3098,0.0,54.7439,5013759244.0,1.584
2021-02-09,91.39,93.3,90.55,90.91,37378124.0,90.1012,90.1058,0.0,51.5626,4971526948.0,-0.6122
2021-02-08,88.31,91.99,87.98,91.47,47639887.0,90.4182,90.0253,1.0,52.9055,5008905072.0,4.0614
2021-02-05,88.15,88.36,86.875,87.9,30268677.0,90.5737,89.8809,1.0,44.321,4961265185.0,0.0683
2021-02-04,88.22,88.6,87.06,87.84,30791641.0,90.9367,90.0789,1.0,44.1621,4930996508.0,-0.0569
2021-02-03,88.6,89.48,87.34,87.89,32312885.0,91.0612,90.3028,1.0,44.2598,4961788149.0,-1.0916
2021-02-02,88.49,89.28,86.95,88.86,33671407.0,91.3052,90.5441,1.0,46.0971,4994101034.0,1.3689
2021-02-01,86.83,87.95,84.66,87.66,42359344.0,91.4772,90.7125,1.0,43.398,4960429627.0,2.3587
2021-01-29,87.56,88.33,85.02,85.64,56735828.0,91.6797,91.0178,1.0,38.5916,4918070283.0,-2.1481
2021-01-28,89.83,89.88,87.3,87.52,47048362.0,92.0122,91.5556,1.0,41.648,4974806111.0,-1.4858
2021-01-27,91.1,91.88,86.22,88.84,73341193.0,92.1672,91.9591,1.0,43.9155,5021854473.0,-6.1979
2021-01-26,94.91,95.7171,93.63,94.71,59449053.0,92.3052,92.271,1.0,56.6523,5095195666.0,0.6162
2021-01-25,94.14,95.74,91.4,94.13,55086943.0,92.1602,92.0271,1.0,55.4673,5035746613.0,1.4441
2021-01-22,94.42,95.95,91.88,92.79,71294707.0,92.0312,91.8169,1.0,52.6928,4980659670.0,1.3766
2021-01-21,89.34,92.07,88.43,91.53,54596079.0,92.0497,91.7195,1.0,49.9714,4909364963.0,3.1324
2021-01-20,90.55,90.78,88.6,88.75,35185810.0,92.1347,91.7385,1.0,43.2873,4854768884.0,-0.7826
2021-01-19,89.56,89.58,87.24,89.45,45115055.0,92.4932,92.0373,1.0,44.6831,4889954694.0,1.4057
2021-01-15,90.75,91.59,87.86,88.21,49340338.0,92.8627,92.2961,1.0,41.5847,4844839639.0,-2.8417
2021-01-14,91.77,92.36,90.45,90.79,53408241.0,93.2947,92.7047,1.0,46.631,4894179977.0,-1.0787
2021-01-13,93.01,93.89,90.84,91.78,60712896.0,93.6112,92.8962,1.0,48.7383,4947588218.0,-3.7491
2021-01-12,97.86,98.97,94.07,95.355,67435038.0,93.7612,93.0078,1.0,57.4432,5008301114.0,-1.9486
2021-01-11,94.025,99.23,93.76,97.25,48669103.0,93.576,92.773,1.0,62.9797,5075736152.0,2.823
2021-01-08,95.98,96.4,93.27,94.58,39816400.0,93.2965,92.3253,1.0,57.6378,5027067049.0,-0.6095
2021-01-07,91.33,95.51,91.2,95.16,42897157.0,93.059,92.0999,1.0,59.3657,5066883449.0,5.3471
2021-01-06,91.62,92.28,89.46,90.33,51911657.0,92.947,91.7939,1.0,47.1032,5023986292.0,-2.6302
2021-01-05,92.1,93.2077,91.41,92.77,34207989.0,93.134,91.9403,1.0,54.8708,5075897949.0,0.5092
2021-01-04,92.11,96.06,90.915,92.3,51802552.0,93.1975,91.8573,1.0,53.4992,5041689960.0,0.6433
2020-12-31,92.1,92.3,90.87,91.71,24930684.0,93.198,91.813,1.0,51.7914,4989887408.0,-0.6285
2020-12-30,90.78,92.85,90.19,92.29,25844973.0,93.2995,91.8233,1.0,53.588,5014818092.0,1.8429
2020-12-29,91.66,92.46,89.4301,90.62,31748211.0,93.3165,91.7766,1.0,48.8433,4988973119.0,-1.0699
2020-12-28,92.93,93.14,90.82,91.6,30512512.0,93.4185,91.8923,1.0,51.7247,5020721330.0,-0.2287
2020-12-24,91.8,92.51,91.31,91.81,16705909.0,93.198,91.9215,1.0,52.339,5051233842.0,0.284
2020-12-23,93.08,93.13,91.46,91.55,25993348.0,92.943,91.9327,1.0,51.6792,5034527933.0,-1.7282
2020-12-22,93.36,93.55,90.53,93.16,35717836.0,92.619,91.971,1.0,56.1489,5060521281.0,-0.0751
2020-12-21,94.25,95.28,91.08,93.23,47093891.0,92.2265,91.8521,1.0,56.3457,5096239117.0,-2.8044
2020-12-18,97.27,97.68,93.56,95.92,51823103.0,91.797,91.7143,1.0,64.3978,5143333008.0,-0.95
2020-12-17,97.55,97.92,96.25,96.84,32023734.0,91.278,91.2937,0.0,67.4593,5195156111.0,-0.0103
