date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,roc,sma,ema,rsi,obv,MACD_Signal,MACD,MACD_Hist,SlowK,SlowD,adx,cci,Aroon Up,Aroon Down,Real Lower Band,Real Middle Band,Real Upper Band,ad,shifted_ROC_BOOL
1999-11-01,19.94,20.44,19.88,20.31,10.155,1563700.0,0.0,1.0,,,,,3127400.0,,,,,,,,,,,,,1675392.8571,1
1999-11-02,20.31,20.81,20.31,20.56,10.28,1898100.0,0.0,1.0,1.2309,,,,6923600.0,,,,,,,,,,,,,1675392.8571,1
1999-11-03,20.69,21.5,20.56,21.31,10.655,2236000.0,0.0,1.0,3.6479,,,,11395600.0,,,,,,,,,,,,,4339563.0699,0
1999-11-04,21.13,21.31,19.94,20.63,10.315,2415000.0,0.0,1.0,-3.191,,,,6565600.0,,,,,,,,,,,,,4374818.5444,1
1999-11-05,20.75,21.38,20.25,21.25,10.625,2148000.0,0.0,1.0,3.0053,,,,10861600.0,,,,,,,,,,,,,7682358.3674,1
1999-11-08,21.0,21.63,20.94,21.44,10.72,1598300.0,0.0,1.0,0.8941,,,,14058200.0,,,,,,,,,,,,,9118511.9906,0
1999-11-09,21.31,21.38,20.44,21.06,10.53,1496500.0,0.0,1.0,-1.7724,,,,11065200.0,,,,,,,,,,,,,10073724.7565,1
1999-11-10,21.94,23.0,21.81,23.0,11.5,4536200.0,0.0,1.0,9.2118,,,,20137600.0,,,,,,,,,,,,,19146124.7565,1
1999-11-11,23.13,29.0,22.31,28.25,14.125,8333800.0,0.0,1.0,22.8261,,,,36805200.0,,,,85.9003,83.592,,,,,,,,32076594.7117,0
1999-11-12,27.0,28.0,24.88,26.56,13.28,11484800.0,0.0,1.0,-5.9823,,,,13835600.0,,,,87.6413,86.1838,,,,,,,,33843487.0194,0
1999-11-15,26.69,26.69,25.5,25.56,12.78,3578400.0,0.0,1.0,-3.7651,,,,6678800.0,,,,74.2457,82.5957,,,,,,,,27408381.137,1
1999-11-16,25.81,26.44,25.25,25.75,12.875,3024300.0,0.0,1.0,0.7433,,,,12727400.0,,,,62.0356,74.6408,,,,,,,,26442638.2799,1
1999-11-17,25.81,27.75,25.81,26.69,13.345,5369100.0,0.0,1.0,3.6505,,,,23465600.0,,,,60.0274,65.4362,,,,,,,,25446310.4448,0
1999-11-18,26.75,26.94,25.69,26.0,13.0,2651300.0,0.0,1.0,-2.5852,,,,18163000.0,,,,52.0555,58.0395,,,,,,,,22773800.0448,1
1999-11-19,26.0,27.31,25.81,27.13,13.565,2810300.0,0.0,1.0,4.3462,,,,23783600.0,,,,58.8561,56.9797,,,,,,,,27045456.0448,0
1999-11-22,26.25,27.25,26.25,26.94,13.47,1967800.0,0.0,1.0,-0.7003,,,,19848000.0,,,,59.5658,56.8258,,,,,,,,28540984.0448,0
1999-11-23,26.81,27.0,25.75,26.81,13.405,2415600.0,0.0,1.0,-0.4826,,,,15016800.0,,,,65.723,61.3816,,,,,,,,31903499.2448,1
1999-11-24,27.25,28.0,27.06,27.25,13.625,3166200.0,0.0,1.0,1.6412,,,,21349200.0,,,,63.1671,62.8186,,,,,,,,28131005.6278,1
1999-11-26,27.5,28.13,26.75,27.69,13.845,1880400.0,0.0,1.0,1.6147,,,,25110000.0,,,,67.8047,65.5649,,,,,,,,29493614.3234,1
1999-11-29,28.38,30.5,28.31,30.5,15.25,8743100.0,0.0,1.0,10.1481,12.3672,12.3672,,42596200.0,,,,83.015,71.3289,,124.5432,,,9.2759,12.3672,15.4586,46979814.3234,0
1999-11-30,29.75,29.75,27.88,28.25,14.125,3551600.0,0.0,1.0,-7.377,12.5657,12.5347,68.0783,35493000.0,,,,78.0481,76.2893,,91.8229,95.0,0.0,9.5595,12.5657,15.572,42687506.3021,0
1999-12-01,28.25,28.31,27.06,27.5,13.75,2688300.0,0.0,1.0,-2.6549,12.7392,12.6504,65.7158,30116400.0,,,,57.5439,72.869,,63.2445,90.0,10.0,9.8839,12.7392,15.5946,41096032.7021,1
1999-12-02,27.94,30.5,27.75,30.5,15.25,3366300.0,0.0,1.0,10.9091,12.969,12.898,70.0867,36849000.0,,,,57.5439,64.3786,,115.2809,100.0,5.0,10.0822,12.969,15.8558,47828632.7021,1
1999-12-03,29.88,31.69,28.63,31.0,15.5,8274000.0,0.0,1.0,1.6393,13.2282,13.1458,70.7411,53397000.0,,,,68.3657,61.1512,,141.5259,100.0,0.0,10.4109,13.2282,16.0456,56913809.1726,1
1999-12-06,31.0,31.5,30.69,31.44,15.72,5548200.0,0.0,1.0,1.4194,13.483,13.391,71.3223,64493400.0,,,,93.2325,73.0474,,162.3377,95.0,0.0,10.7327,13.483,16.2333,66366298.0615,1
1999-12-07,31.0,31.81,29.69,31.75,15.875,4177500.0,0.0,1.0,0.986,13.7408,13.6275,71.7386,72848400.0,,,,92.8115,84.8033,,140.9963,100.0,5.0,11.1109,13.7408,16.3706,74248373.5332,0
1999-12-08,31.5,31.94,29.75,29.75,14.875,3512600.0,0.0,1.0,-6.2992,13.958,13.7463,65.3008,65823200.0,,,,80.3567,88.8002,,107.2075,100.0,0.0,11.7393,13.958,16.1767,67223173.5332,0
1999-12-09,30.69,31.0,28.81,29.38,14.69,3578500.0,0.0,1.0,-1.2437,14.1175,13.8362,64.1792,58666200.0,,,,56.376,76.5147,,67.6768,95.0,0.0,12.1888,14.1175,16.0462,63791735.1771,0
1999-12-10,29.38,29.63,28.13,29.25,14.625,3102800.0,0.0,1.0,-0.4425,14.1425,13.9113,63.7741,52460600.0,,,,33.2625,56.6651,,33.4774,90.0,0.0,12.2012,14.1425,16.0838,66853164.5104,0
1999-12-13,28.5,29.94,28.19,29.07,14.535,1963100.0,0.0,1.0,-0.6154,14.2053,13.9707,63.1928,48534400.0,,,,25.5756,38.4047,,31.5738,85.0,0.0,12.2987,14.2053,16.1118,66875599.939,0
