date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,roc,sma,ema,rsi,obv,MACD_Hist,MACD,MACD_Signal,SlowK,SlowD,adx,cci,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,ad,shifted_ROC_BOOL
1999-11-01,19.94,20.44,19.88,20.31,10.155,1563700.0,0.0,1.0,,,,,3127400.0,,,,,,,,,,,,,1675392.8571,1
1999-11-02,20.31,20.81,20.31,20.56,10.28,1898100.0,0.0,1.0,1.2309,,,,6923600.0,,,,,,,,,,,,,1675392.8571,1
1999-11-03,20.69,21.5,20.56,21.31,10.655,2236000.0,0.0,1.0,3.6479,,,,11395600.0,,,,,,,,,,,,,4339563.0699,0
1999-11-04,21.13,21.31,19.94,20.63,10.315,2415000.0,0.0,1.0,-3.191,,,,6565600.0,,,,,,,,,,,,,4374818.5444,1
1999-11-05,20.75,21.38,20.25,21.25,10.625,2148000.0,0.0,1.0,3.0053,10.406,10.406,,10861600.0,,,,,,,63.6451,,,10.0089,10.406,10.8031,7682358.3674,1
1999-11-08,21.0,21.63,20.94,21.44,10.72,1598300.0,0.0,1.0,0.8941,10.519,10.5107,72.6908,14058200.0,,,,,,,105.5217,0.0,100.0,10.1514,10.519,10.8866,9118511.9906,0
1999-11-09,21.31,21.38,20.44,21.06,10.53,1496500.0,0.0,1.0,-1.7724,10.569,10.5171,61.0455,11065200.0,,,,,,,-15.0632,40.0,80.0,10.287,10.569,10.851,10073724.7565,1
1999-11-10,21.94,23.0,21.81,23.0,11.5,4536200.0,0.0,1.0,9.2118,10.738,10.8447,80.738,20137600.0,,,,,,,161.7939,20.0,100.0,9.9301,10.738,11.5459,19146124.7565,1
1999-11-11,23.13,29.0,22.31,28.25,14.125,8333800.0,0.0,1.0,22.8261,11.5,11.9382,92.8924,36805200.0,,,,85.9003,83.592,,161.579,0.0,100.0,8.7862,11.5,14.2138,32076594.7117,0
1999-11-12,27.0,28.0,24.88,26.56,13.28,11484800.0,0.0,1.0,-5.9823,12.031,12.3854,74.0825,13835600.0,,,,87.6413,86.1838,53.5094,82.7626,0.0,80.0,9.1746,12.031,14.8874,33843487.0194,0
1999-11-15,26.69,26.69,25.5,25.56,12.78,3578400.0,0.0,1.0,-3.7651,12.443,12.517,64.4324,6678800.0,,,,74.2457,82.5957,60.0941,43.6162,20.0,60.0,9.883,12.443,15.003,27408381.137,1
1999-11-16,25.81,26.44,25.25,25.75,12.875,3024300.0,0.0,1.0,0.7433,12.912,12.6363,65.4998,12727400.0,,,,62.0356,74.6408,63.3274,20.1785,0.0,40.0,11.2104,12.912,14.6136,26442638.2799,1
1999-11-17,25.81,27.75,25.81,26.69,13.345,5369100.0,0.0,1.0,3.6505,13.281,12.8725,70.9001,23465600.0,,,,60.0274,65.4362,67.1641,87.7804,0.0,20.0,12.3293,13.281,14.2327,25446310.4448,0
1999-11-18,26.75,26.94,25.69,26.0,13.0,2651300.0,0.0,1.0,-2.5852,13.056,12.915,61.9959,18163000.0,,,,52.0555,58.0395,69.1652,-5.2493,0.0,0.0,12.6126,13.056,13.4994,22773800.0448,1
1999-11-19,26.0,27.31,25.81,27.13,13.565,2810300.0,0.0,1.0,4.3462,13.113,13.1317,69.7682,23783600.0,,,,58.8561,56.9797,71.2289,83.3333,0.0,0.0,12.5208,13.113,13.7052,27045456.0448,0
1999-11-22,26.25,27.25,26.25,26.94,13.47,1967800.0,0.0,1.0,-0.7003,13.251,13.2445,66.8929,19848000.0,,,,59.5658,56.8258,72.8798,63.2772,20.0,40.0,12.7145,13.251,13.7875,28540984.0448,0
1999-11-23,26.81,27.0,25.75,26.81,13.405,2415600.0,0.0,1.0,-0.4826,13.357,13.298,64.6154,15016800.0,,,,65.723,61.3816,67.8723,-30.3238,0.0,20.0,12.9713,13.357,13.7427,31903499.2448,1
1999-11-24,27.25,28.0,27.06,27.25,13.625,3166200.0,0.0,1.0,1.6412,13.413,13.407,69.0707,21349200.0,,,,63.1671,62.8186,67.0574,151.0645,20.0,100.0,12.9731,13.413,13.8529,28131005.6278,1
1999-11-26,27.5,28.13,26.75,27.69,13.845,1880400.0,0.0,1.0,1.6147,13.582,13.553,73.2766,25110000.0,,,,67.8047,65.5649,62.9337,90.9948,0.0,100.0,13.2784,13.582,13.8856,29493614.3234,1
1999-11-29,28.38,30.5,28.31,30.5,15.25,8743100.0,0.0,1.0,10.1481,13.919,14.1187,87.1865,42596200.0,,,,83.015,71.3289,65.0248,166.6667,40.0,100.0,12.5539,13.919,15.2841,46979814.3234,0
1999-11-30,29.75,29.75,27.88,28.25,14.125,3551600.0,0.0,1.0,-7.377,14.05,14.1208,57.3227,35493000.0,,,,78.0481,76.2893,63.1458,44.3808,20.0,80.0,12.7587,14.05,15.3413,42687506.3021,0
1999-12-01,28.25,28.31,27.06,27.5,13.75,2688300.0,0.0,1.0,-2.6549,14.119,13.9972,50.1634,30116400.0,,,,57.5439,72.869,55.5343,-47.6111,0.0,60.0,12.941,14.119,15.297,41096032.7021,1
1999-12-02,27.94,30.5,27.75,30.5,15.25,3366300.0,0.0,1.0,10.9091,14.444,14.4148,69.3214,36849000.0,,,,57.5439,64.3786,55.3754,75.8872,20.0,100.0,13.1049,14.444,15.7831,47828632.7021,1
1999-12-03,29.88,31.69,28.63,31.0,15.5,8274000.0,0.0,1.0,1.6393,14.775,14.7765,71.5962,53397000.0,,,,68.3657,61.1512,57.1663,94.6888,0.0,100.0,13.375,14.775,16.175,56913809.1726,1
1999-12-06,31.0,31.5,30.69,31.44,15.72,5548200.0,0.0,1.0,1.4194,14.869,15.091,73.7382,64493400.0,,,,93.2325,73.0474,58.5991,104.0907,40.0,80.0,13.301,14.869,16.437,66366298.0615,1
